date,hour,route_id,workday,weather,pace,1016-140,1034-216-1,1038-276,1025-116,1947-211,1946-230-1,1935-230,1035-136,1014-150,1001-156,1021-156,0174-1,0855-1,1010-1
2020-10-06,16,4,1,good,0.19443095353731585,,,,,,,,,,847.0,951.0,,,
2020-10-06,16,5,1,good,0.06561521791476041,,,,,,,,,,,,2581.0,2866.0,1961.0
2020-10-06,17,0,1,good,0.13187796151242628,,760.0,,,,,,,,,,,,
2020-10-06,17,1,1,good,0.14597796908266222,,,,,,,,,,,,,,
2020-10-06,17,2,1,good,0.1791179932989224,,,,,,,295.0,,,,,,,
2020-10-06,17,3,1,good,0.17812907431551503,,,,,,,,,,,,,,
2020-10-06,17,4,1,good,0.18840051805083372,,,,,,,,,,932.0,943.0,,,
2020-10-06,17,5,1,good,0.060050298311796015,,,,,,,,,,,,2486.0,2468.0,1882.0
2020-10-06,18,0,1,good,0.12950875157141475,,739.0,,,,,,,,,,,,
2020-10-06,18,1,1,good,0.14421919837082292,,,,,,,,,,,,,,
2020-10-06,18,2,1,good,0.16091641764013404,,,,,,,226.0,,,,,,,
2020-10-06,18,3,1,good,0.165851803563668,,,,,,,,,,,,,,
2020-10-06,18,4,1,good,0.15242026873887002,,,,,,,,,,875.0,832.0,,,
2020-10-06,18,5,1,good,0.05861893677930278,,,,,,,,,,,,2214.0,1992.0,1570.0
2020-10-06,19,0,1,good,0.125447248815395,,616.0,,,,,,,,,,,,
2020-10-06,19,1,1,good,0.13690641488475425,,,,,,,,,,,,,,
2020-10-06,19,2,1,good,0.16069002988318393,,,,,,,153.0,,,,,,,
2020-10-06,19,3,1,good,0.15688830943068233,,,,,,,,,,,,,,
2020-10-06,19,4,1,good,0.1463088878096163,,,,,,,,,,791.0,682.0,,,
2020-10-06,19,5,1,good,0.058525296305214435,,,,,,,,,,,,1841.0,1742.0,1309.0
2020-10-06,20,0,1,good,0.11775940431292913,,447.0,,,,,,,,,,,,
2020-10-06,20,1,1,good,0.13250948810515598,,,,,,,,,,,,,,
2020-10-06,20,2,1,good,0.1476500950828579,,,,,,,99.0,,,,,,,
2020-10-06,20,3,1,good,0.14749022164276404,,,,,,,,,,,,,,
2020-10-06,20,4,1,good,0.13700016189088554,,,,,,,,,,521.0,481.0,,,
2020-10-06,20,5,1,good,0.05730797014206598,,,,,,,,,,,,1253.0,1197.0,891.0
2020-10-06,21,0,1,good,0.11899236050672081,,256.0,,,,,,,,,,,,
2020-10-06,21,1,1,good,0.13051930019439043,,,,,,,,,,,,,,
2020-10-06,21,2,1,good,0.1401792991035045,,,,,,,68.0,,,,,,,
2020-10-06,21,3,1,good,0.14319860930030423,,,,,,,,,,,,,,
2020-10-06,21,4,1,good,0.12740812692245426,,,,,,,,,,347.0,312.0,,,
2020-10-06,21,5,1,good,0.05603713513658132,,,,,,,,,,,,867.0,764.0,561.0
2020-10-06,22,0,1,good,0.11911323856493568,,186.0,,,,,,,,,,,,
2020-10-06,22,1,1,good,0.12862167916319542,,,,,,,,,,,,,,
2020-10-06,22,2,1,good,0.13882097256180387,,,,,,,54.0,,,,,,,
2020-10-06,22,3,1,good,0.1375488917861799,,,,,,,,,,,,,,
2020-10-06,22,4,1,good,0.1333980896875506,,,,,,,,,,263.0,212.0,,,
2020-10-06,22,5,1,good,0.05671937287636783,,,,,,,,,,,,572.0,464.0,333.0
2020-10-06,23,0,1,good,0.11553524804177547,,74.0,,,,,,,,,,,,
2020-10-06,23,1,1,good,0.1269554753309266,,,,,,,,,,,,,,
2020-10-06,23,2,1,good,0.13139545413384043,,,,,,,19.0,,,,,,,
2020-10-06,23,3,1,good,0.1354845719252499,,,,,,,,,,,,,,
2020-10-06,23,4,1,good,0.12692245426582482,,,,,,,,,,104.0,83.0,,,
2020-10-06,23,5,1,good,0.056558846349359225,,,,,,,,,,,,239.0,246.0,166.0
2020-10-07,0,0,1,bad,0.11280340392611932,,37.0,,,,,,,,,,,,
2020-10-07,0,1,1,bad,0.12815884476534298,,,,,,,,,,,,,,
2020-10-07,0,2,1,bad,0.1279090826768088,,,,,,,4.0,,,,,,,
2020-10-07,0,3,1,bad,0.13336592785745327,,,,,,,,,,,,,,
2020-10-07,0,4,1,bad,0.11813987372510926,,,,,,,,,,48.0,48.0,,,
2020-10-07,0,5,1,bad,0.05317441207159484,,,,,,,,,,,,100.0,107.0,65.0
2020-10-07,1,0,1,bad,0.10835509138381201,,18.0,,,,,,,,,,,,
2020-10-07,1,1,1,bad,0.12649264093307414,,,,,,,,,,,,,,
2020-10-07,1,2,1,bad,0.13528932355338222,,,,,,,5.0,,,,,,,
2020-10-07,1,3,1,bad,0.1330399826162538,,,,,,,,,,,,,,
2020-10-07,1,4,1,bad,0.1168852193621499,,,,,,,,,,33.0,27.0,,,
2020-10-07,1,5,1,bad,0.054498755919415685,,,,,,,,,,,,73.0,88.0,47.0
2020-10-07,2,0,1,bad,0.10753312058795088,,7.0,,,,,,,,,,,,
2020-10-07,2,1,1,bad,0.12052207720077757,,,,,,,,,,,,,,
2020-10-07,2,2,1,bad,0.1505931359232093,,,,,,,4.0,,,,,,,
2020-10-07,2,3,1,bad,0.13559322033898305,,,,,,,,,,,,,,
2020-10-07,2,4,1,bad,0.11975878258054069,,,,,,,,,,16.0,17.0,,,
2020-10-07,2,5,1,bad,0.05461915081467212,,,,,,,,,,,,62.0,79.0,41.0
2020-10-07,3,0,1,bad,0.10869354994681367,,10.0,,,,,,,,,,,,
2020-10-07,3,1,1,bad,0.12084606127927427,,,,,,,,,,,,,,
2020-10-07,3,2,1,bad,0.1319387847505207,,,,,,,7.0,,,,,,,
2020-10-07,3,3,1,bad,0.13988483268144283,,,,,,,,,,,,,,
2020-10-07,3,4,1,bad,0.12056823700825642,,,,,,,,,,34.0,38.0,,,
2020-10-07,3,5,1,bad,0.05440511544532734,,,,,,,,,,,,76.0,96.0,57.0
2020-10-07,4,0,1,bad,0.1137704283918383,,32.0,,,,,,,,,,,,
2020-10-07,4,1,1,bad,0.12403961862445616,,,,,,,,,,,,,,
2020-10-07,4,2,1,bad,0.1250113193878475,,,,,,,14.0,,,,,,,
2020-10-07,4,3,1,bad,0.14135158626684052,,,,,,,,,,,,,,
2020-10-07,4,4,1,bad,0.12655819977335275,,,,,,,,,,68.0,79.0,,,
2020-10-07,4,5,1,bad,0.055060598763945735,,,,,,,,,,,,198.0,261.0,146.0
2020-10-07,5,0,1,bad,0.11696160912871095,,163.0,,,,,,,,,,,,
